candidate_value,seed,commit_ordinal,frame_index,spnet_age_protected,spnet_age_protected_spnet_completed,remaining_spnet_completed,mature_opacity_removed_spnet_completed,run_dir
1,0,1,0,0,0,0,0,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,2,4,0,0,1590,0,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,3,9,0,0,2924,100,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,4,14,0,0,4034,131,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,5,19,0,0,4959,190,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,6,24,0,0,6138,278,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,7,29,0,0,7461,323,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,8,34,0,0,9170,446,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,9,39,0,0,10702,640,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,10,44,0,0,12247,688,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,11,49,0,0,13922,793,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,12,54,0,0,15141,790,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,13,59,0,0,15881,769,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,14,64,0,0,16645,732,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,15,69,0,0,18169,558,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,16,74,0,0,19613,389,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,17,79,0,0,21030,290,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,18,84,0,0,22512,274,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,19,89,0,0,24025,385,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
